sku,nombre_producto,n_puntos,beta,alpha,r2
40002139,TAMPER MANUAL DE ALUMINIO,4.0,0.19040148130095283,0.5176387755685129,0.010202182600079233
40002155,MAQUINA CAPSULA LB 2600 LAVAZZA,4.0,9.084052265850277,-93.50366350381196,0.9663982464739493
40002156,MAQUINA CAFE CAPS LB 4724 LAVAZZA,1.0,,,
40002157,MAQUINA CAFE CAPS LB 2317 LAVAZZA,4.0,0.35468655138709154,-1.4323197836370503,0.3161762433372087
40002159,MAQUINA CAFE CAPS LB CLASSY MINI LAVAZZA,9.0,-1.972146750394926,23.46138266978358,0.197041523165623
40009375,PITCHER DE LECHE 250 cc,1.0,,,
40009376,PITCHER DE LECHE 500 cc,2.0,0.0,0.0,
40009385,MAQUINA PHEDRA,1.0,,,
90940206,Servicio Operador Logístico,6.0,,,
92009256,MAC 65 ON DEMAND 220V./60HZ,2.0,4.598839944037321e-14,2.302585092993545,
92009365,CAJA DEPOSITO BORRA CAFE,1.0,,,
100093620,JALEA EN POLVO FRAMBUESA CARICIA 1 kg,46.0,-1.2935095951177062,13.270483641499656,0.006076642193167
100093710,MAC 65/A 220V./60HZ,1.0,,,
100093730,PRENSA CAFE DINAMOMETRICA 25 kg,1.0,,,
100093780,JALEA EN POLVO NARANJA CARICIA 1 kg,48.0,-3.46574599903642,31.714232388540662,0.06690895723558049
100093790,JALEA EN POLVO PIÑA CARICIA 1 kg,44.0,-2.7553867919512474,25.335594439197454,0.018499645820970877
100095030,FLAN EN POLVO VAINILLA CARICIA 1 kg,35.0,-0.7122531901888774,8.103824698215556,0.0004265430756693498
100095080,FLAN EN POLVO CHOCOLATE CARICIA 1 kg,36.0,-10.767498402084824,89.6926610382039,0.0632223763602532
101200010,ALCAPARRA EDRA 110 g,51.0,-5.840716763947047,55.27815342722074,0.3275335981627305
101200051,SALSA SOYA EDRA 500 cc,58.0,0.23713522808190177,0.2476979097290805,0.0009087416161465426
101310038,CURRY EDRA 15 g RRP,14.0,-0.8626314043843026,8.352501063738146,0.06698735093765834
101310045,CANELA ENTERA EDRA 15 g RRP,11.0,-0.40385509814754267,4.280180520561628,0.004082250793313483
101310048,LAUREL EN HOJA EDRA 5 g RRP,5.0,0.0,0.0,
101310075,AJI SMOKED INFERNO 250g,18.0,1.2882510572916508,-10.904239366014256,0.036136960260261496
101310076,AJI RED CREMA INFERNO 250g,18.0,1.9458326512935966,-16.78584611302958,0.060439693337833236
101310077,AJI JALAPENO INFERNO 250 g,16.0,-0.8321417050153573,8.048673445114508,0.0691029282181952
101310103,PF CA INFERNO SPICY CHEDDAR 12 X 175G,1.0,,,
101310213,CACAO AMARGO EDRA 1 Kg,75.0,2.563361315635925,-19.125710401854374,0.006618513255188205
101310214,CACAO DULCE EDRA 1 Kg,50.0,11.459052296518186,-89.04547589319668,0.41478370972766315
101310243,ACETO BALSAMICO EDRA 500 cc,17.0,8.686765087666938,-71.9580753623128,0.29617453485454426
101500000,ATUN AGUA ESMERALDA 160 g IMPORTADO,28.0,2.9709996905134406,-22.890014388327614,0.059860963136832916
101500001,ATUN ACEITE ESMERALDA 160 g IMPORTADO,12.0,4.516091719559714,-35.96289201625353,0.4819668287995719
101500120,"CHAMPIÑON LAMINADO ZANAFOODS 2,84 kg",64.0,-0.9499989866811036,12.673079837726938,0.02346405053119669
101500200,CHAMPIÑONES ENTEROS ESMERALDA 184 g,18.0,3.3105641872859985,-26.564107216522295,0.23557693365355772
101510000,"PIMENTON ENTERO ZANAFOODS 2,9 kg",31.0,1.341402265840733,-7.351812961227766,0.02430399150591691
101510040,"PIMENTON TIRAS ROJAS ZANAFOODS 2,9 kg",92.0,-2.2411335753031767,21.692203084844508,0.01752095252355911
101520120,PALMITOS ESMERALDA 400 g,67.0,-3.829555508047138,35.315332582033896,0.02091324599762627
101520140,PALMITOS ESMERALDA 810 g,108.0,-2.3564630496461234,24.42821276626784,0.004836033594484646
101520200,PALMITOS RODAJAS ESMERALDA 400 g,78.0,-4.4835272393690975,40.27243797468865,0.060569541850698655
101520250,PALMITOS RODAJAS ESMERALDA 810 g,105.0,0.4533336036231787,0.26320467654977,0.00021896679239677462
101530450,PIÑA EN RODAJAS ESMERALDA 567 g,3.0,3402.9515346048192,-27353.56820543366,0.9999999999999996
101530550,PIÑA EN RODAJAS ZANAFOODS 3 KG,52.0,1.844159086146862,-9.534601081564743,0.0639590617779221
101530600,PIÑA EN TROCITOS ZANAFOODS 3 KG,44.0,3.2265491232449843,-20.245593566374435,0.17681981058308957
101530700,PIÑA EN TROCITOS ESMERALDA 565 g,6.0,,,
101600020,CAFE CREMA E GUSTO TARRO LAVAZZA 250 g,31.0,-0.5929498765924271,7.182293811129174,0.029522817182116162
101600041,CAPSULA ESPRESSO CLASSICO LAVAZZA 57 g,12.0,1.6477569212665417,-18.75076296402878,0.18937716725264947
101600042,CAPSULA ESPRESSO INTENSO LAVAZZA 57 g,15.0,0.9464019022298082,-10.720069435203266,0.09130860210813249
101600043,CAPSULA ESPRESSO QUALITA ORO LAVAZZA 55g,14.0,-0.9273769691944594,10.68298969724089,0.033487291505828895
101600050,QUALITA ORO TARRO LAVAZZA 250 g,35.0,-1.9790162035601166,21.289020936867285,0.1332514462392042
101600062,CAFÉ MOLIDO TIERRA FOR CUBA 180g,1.0,,,
101600070,CAFE PRONTISSIMO CLASI LATA LAVAZZA 95 g,27.0,-3.389743229831112,37.32324802155661,0.1798895122999079
101600080,CAFE PRONTISSIMO INTEN LATA LAVAZZA 95 g,37.0,-8.30160258842079,90.91149241333692,0.4532450847006868
101710001,TE CLUB ORIGINAL 100BLS,3.0,,,
101710009,TE CLUB PREMIUM SUSTENTABLE 100 BLS,24.0,-2.493442277578197,26.374883177318868,0.05390189444823747
101710090,TE EMBLEM CEYLAN IMP 100 BLS,53.0,-1.3113919029757735,14.635973267351488,0.010011422931667286
101710133,TE CLUB ORIGINAL IMP 100BLS,38.0,-10.119129867786095,100.20518505819751,0.5116049512190399
101710137,TE EMBLEM CEYLAN PREMIUM IMP 100BLS,20.0,-4.83411630110268,48.869520733582505,0.2963400304959227
101710138,TÉ CLUB ORIGINAL IMP 20 BLS,2.0,,,
101710140,EMBLEM CEYLAN IMP 20 BLS,1.0,,,
101720003,TE EMBLEM CEYLAN 20BLS,3.0,,,
101720006,TE EMBLEM PREMIUM GRANEL 225G,21.0,-4.1828371027702556,41.72931835079769,0.38939940580329147
101800144,BARRA CHOCOLATE LECHE 4X18X82GR,10.0,-17.856811515978638,165.48353097499125,0.41896824631242047
101800146,BARRA CHOCOLATE COOKIES AND CREAM 4x18x7,1.0,,,
101820108,SALSA CHOCOLATE HERSHEY'S 680 g,63.0,-7.010807578430391,61.078065997476024,0.17711953672738273
101920020,MENTOS PACK MENTA 11P,7.0,,,
101920021,MENTOS PACK FRUTAS 11P,9.0,8.548446547069341,-74.77011014681865,0.2906338953219037
102100001,ATUN AGUA VAN CAMPS  320 g IMPORTADO,26.0,3.6315081170632255,-29.77330354163506,0.21434746104736818
102100002,ATUN ACEITE VAN CAMPS  320 g IMPORTADO,23.0,6.376985078210838,-55.6893086301433,0.42881154641952274
102140230,ATUN ACEITE VAN CAMPS 3 uds. 80 g IMP,6.0,6.83814764347973,-61.89490748013644,0.2519852612672229
102140240,ATUN AGUA VAN CAMPS 3 uds. 80 g IMP,1.0,,,
102140410,ATUN ACEITE VAN CAMPS 160 g IMPORTADO,98.0,1.0763922257793004,-6.145946712035851,0.016322497590903654
102140420,ATUN AGUA VAN CAMPS 160 g IMPORTADO,114.0,1.062575264908621,-5.662351403399079,0.01671433713297987
102200080,CABELLOS DE ANGEL DON VITTORIO 400 g NV,64.0,-1.7360763764473985,15.021842512778907,0.023896589218690166
102200081,CORBATA GRANDE DON VITTORIO 400 g NV,48.0,-1.5138753898346575,13.517459324120901,0.01905006086773369
102200082,ESPIRALES DON VITTORIO 400 g NV,86.0,7.526012561291738,-51.619104795580576,0.15241656044914445
102200083,LINGUINI DON VITTORIO 400 g NV,56.0,0.6251212803912757,-0.3427823720564477,0.0036657893819555106
102200084,QUIFAROS DON VITTORIO 400 g NV,68.0,1.0726240676625574,-4.80931561398941,0.004537144733936988
102200085,RIGATONE DON VITTORIO 400 g NV,44.0,8.250819388283723,-57.044891051475474,0.1726572605623363
102200086,SPAGHETTI N°5 DON VITTORIO 400 g NV,110.0,-1.1829392802648255,13.78240223606836,0.008928081039423094
102202050,CABELLOS DE ANGEL DON VITTORIO 400 g,4.0,,,
102300021,ROCHER T-24 300g,3.0,-9.04471843296577,96.90889189153128,0.9993919892105829
102300260,NUTELLA 350 g,68.0,-9.66556770741632,94.85181238399971,0.6134819749179355
102300530,KINDER BUENO,1.0,,,
102310110,NUTELLA & GO 52 g,45.0,-9.170861251711479,93.38696956098198,0.6633997844593009
102310250,"ROCHER T-3 37,5 g",29.0,-13.43431059464825,140.46024404048828,0.3980667072423777
102320050,TIC TAC MENTA 16 g,18.0,-4.07794566854955,40.8753256991712,0.42696492658714946
102320100,TIC TAC NARANJA 16 g,16.0,-4.729685837651772,47.144370753164374,0.5114843891937634
102320340,FERRERO ROCHER T12 150 g,34.0,-10.257078301826699,109.49116424401858,0.5960769143724304
102400070,PRINGLES ORIGINAL 104G,7.0,-7.585745256298223,74.06437662178664,0.8572719628058342
102400072,PRINGLES QUESO 109G,1.0,,,
102500001,PESTO ALLA GENOVESE BARILLA 190g,75.0,-1.057668589245644,12.14991243260094,0.002606845435715068
